"filename", "language", "HTML", "JSON", "TypeScript", "JSON with Comments", "JavaScript", "Markdown", "XML", "TypeScript JSX", "Ignore", "MS SQL", "PostCSS", "comment", "blank", "total"
"c:\Users\hypnotized\projects\Void-chat\.lovable\plan.md", "Markdown", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\hypnotized\projects\Void-chat\README.md", "Markdown", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 25, 94
"c:\Users\hypnotized\projects\Void-chat\bun.lock", "JSON with Comments", 0, 0, 0, 664, 0, 0, 0, 0, 0, 0, 0, 0, 577, 1241
"c:\Users\hypnotized\projects\Void-chat\components.json", "JSON", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\hypnotized\projects\Void-chat\eslint.config.js", "JavaScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 2, 27
"c:\Users\hypnotized\projects\Void-chat\index.html", "HTML", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 35
"c:\Users\hypnotized\projects\Void-chat\package-lock.json", "JSON", 0, 8383, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8384
"c:\Users\hypnotized\projects\Void-chat\package.json", "JSON", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 92
"c:\Users\hypnotized\projects\Void-chat\postcss.config.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\hypnotized\projects\Void-chat\public\placeholder.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\hypnotized\projects\Void-chat\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 6, 43
"c:\Users\hypnotized\projects\Void-chat\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"c:\Users\hypnotized\projects\Void-chat\src\assets\powered-by-klipy.svg", "XML", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 1, 1, 71
"c:\Users\hypnotized\projects\Void-chat\src\components\AdminAuthOverlay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 144, 0, 0, 0, 1, 14, 159
"c:\Users\hypnotized\projects\Void-chat\src\components\AdminPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 201, 0, 0, 0, 4, 12, 217
